# Columns: Date (yy/mm/dd), Epoch [MJD], KRR(xp, AAM xmass) [as], SSA 4PC + KRR [as], SSA 6PC + KRR [as], SSA 4PC + GPR [as], SSA 6PC + GPR [as]
2024/11/5 	60619 	 0.210780 	 0.212280 	 0.21267 	 0.21106 	 0.21217
2024/11/6 	60620 	 0.208300 	 0.210860 	 0.21178 	 0.21054 	 0.21227
2024/11/7 	60621 	 0.205750 	 0.209830 	 0.21097 	 0.21115 	 0.21102
2024/11/8 	60622 	 0.205200 	 0.208570 	 0.21012 	 0.20917 	 0.21145
2024/11/9 	60623 	 0.205090 	 0.207780 	 0.20981 	 0.20892 	 0.21021
2024/11/10 	60624 	 0.203280 	 0.206560 	 0.20943 	 0.20850 	 0.20973
2024/11/11 	60625 	 0.201420 	 0.205340 	 0.20973 	 0.20956 	 0.20921
2024/11/12 	60626 	 0.198280 	 0.204370 	 0.21047 	 0.20388 	 0.20904
2024/11/13 	60627 	 0.194540 	 0.203490 	 0.21201 	 0.20466 	 0.21218
2024/11/14 	60628 	 0.196910 	 0.202770 	 0.21442 	 0.19996 	 0.21278
