# Columns: Date (yy/mm/dd), Epoch [MJD], KRR (yp, dy)[as], KRR (yp, AAM ymass)[as], SSA 2PC + KRR [as], SSA 4PC + KRR [as], SSA 6PC + KRR [as]
2024/11/5 	60619 	 0.363260 	 0.35961 	 0.35966 	 0.35959
2024/11/6 	60620 	 0.364650 	 0.35831 	 0.35893 	 0.35914
2024/11/7 	60621 	 0.366440 	 0.35671 	 0.35823 	 0.35947
2024/11/8 	60622 	 0.365580 	 0.35504 	 0.35826 	 0.36080
2024/11/9 	60623 	 0.364230 	 0.35387 	 0.35851 	 0.36345
2024/11/10 	60624 	 0.363720 	 0.35291 	 0.35960 	 0.36746
2024/11/11 	60625 	 0.361250 	 0.35195 	 0.36132 	 0.37292
2024/11/12 	60626 	 0.361940 	 0.35099 	 0.36391 	 0.38009
2024/11/13 	60627 	 0.356200 	 0.35035 	 0.36724 	 0.38883
2024/11/14 	60628 	 0.359700 	 0.34992 	 0.37133 	 0.39944
